state,answer_set,facility_name,eligible_to_vote,count,n_respondents,pct_of_respondents
KY,all-surveys,"Pulaski County, KY",No,8,11,0.7272727272727273
MA,all-surveys,"Berkshire County House of Corrections, MA",Yes,8,20,0.4
MA,all-surveys,"Middlesex County House of Corrections, MA",Not sure,8,53,0.1509433962264151
MA,all-surveys,"Plymouth County Correctional Facility, MA",No,8,33,0.24242424242424243
MA,all-surveys,"Plymouth County Correctional Facility, MA",Not sure,8,33,0.24242424242424243
MA,all-surveys,"Suffolk County Jail, MA",Not sure,8,60,0.13333333333333333
MD,all-surveys,"Washington County Detention Center, MD",Yes,8,14,0.5714285714285714
MI,all-surveys,"Monroe County Correctional System, MI",Yes,8,9,0.8888888888888888
NE,all-surveys,"Lancaster County, NE",No,8,40,0.2
NJ,all-surveys,"Hudson County Corrections Center, NJ",Yes,8,17,0.47058823529411764
NJ,all-surveys,"Mercer County Correction Center, NJ",Yes,8,11,0.7272727272727273
NM,all-surveys,"Lea County Sheriff's Office, NM",Yes,8,18,0.4444444444444444
NY,all-surveys,"Monroe County Sheriff's Department, NY",No,8,62,0.12903225806451613
OH,all-surveys,"Medina County Jail, OH",Yes,8,13,0.6153846153846154
PA,all-surveys,"Bradford County, PA",Yes,8,9,0.8888888888888888
PA,all-surveys,"Columbia County, PA",Yes,8,18,0.4444444444444444
TX,all-surveys,"Hunt County, TX",Not sure,8,22,0.36363636363636365
TX,all-surveys,"Hunt County, TX",Yes,8,22,0.36363636363636365
TX,all-surveys,"Wichita County, TX ",Not sure,8,28,0.2857142857142857
VA,all-surveys,"Middle Peninsula Regional Jail, VA",No,8,13,0.6153846153846154
AL,all-surveys,"Montgomery County, AL",Yes,7,15,0.4666666666666667
AL,all-surveys,"Riverside Regional, VA",Not sure,7,25,0.28
CA,all-surveys,"Sonoma County, CA",Yes,7,17,0.4117647058823529
CA,all-surveys,"Tulare County, CA-Bob Wiley Detention ",Yes,7,10,0.7
CO,all-surveys,"La Plata County, CO ",Yes,7,15,0.4666666666666667
CO,all-surveys,"Larimer County, CO",No,7,28,0.25
